# quantum-light node manifest (shared ±N / quadrature)
# state_type = squeezed_vacuum
# sampling_mode = gauss_hermite
# precision = ES25.17
# antipodes = enforced (alpha_bar=-alpha; I,phi from alpha; phi_bar=mod(phi+pi,2pi))
# squeeze_r = 2.5
# squeeze_theta_deg = 180.0
# gh_order = 5
# I_bar = 100000000000.0
# NOTE: equal-mean-intensity mapping; not experimental BSV calibration.
# n_nodes = 25
# sum_weight = 1.0000000000000000e+00
# sample_id  weight  Re(alpha)  Im(alpha)  I_drive  phi_drive
       1  1.26729309801494014E-04 -1.74610401371034136E+01 -1.43328945562597432E+00  1.63245553203367676E+12  3.22349403251916433E+00
       2  2.49999999999999962E-03 -1.74610401371034136E+01 -6.80092790646326995E-01  1.62398967084939575E+12  3.18052213255567739E+00
       3  6.00395270811769979E-03 -1.74610401371034136E+01  1.06197626518267241E-15  1.62152975051725146E+12  3.14159265358979312E+00
       4  2.49999999999999962E-03 -1.74610401371034136E+01  6.80092790646329215E-01  1.62398967084939575E+12  3.10266317462390884E+00
       5  1.26729309801494014E-04 -1.74610401371034136E+01  1.43328945562597609E+00  1.63245553203367676E+12  3.05969127466042190E+00
       6  2.49999999999999962E-03 -8.28522631476686477E+00 -1.43328945562597454E+00  3.76010329150605530E+11  3.31289068330139180E+00
       7  4.93177151346429546E-02 -8.28522631476686477E+00 -6.80092790646327661E-01  3.67544467966324097E+11  3.22349403251916433E+00
       8  1.18440491736326758E-01 -8.28522631476686477E+00  5.03905473491965633E-16  3.65084547634179932E+11  3.14159265358979312E+00
       9  4.93177151346429546E-02 -8.28522631476686477E+00  6.80092790646328549E-01  3.67544467966324097E+11  3.05969127466042190E+00
      10  2.49999999999999962E-03 -8.28522631476686477E+00  1.43328945562597587E+00  3.76010329150605530E+11  2.97029462387819443E+00
      11  6.00395270811769979E-03  0.00000000000000000E+00 -1.43328945562597521E+00  1.09257815164255180E+10  4.71238898038468967E+00
      12  1.18440491736326758E-01  0.00000000000000000E+00 -6.80092790646328105E-01  2.45992033214419746E+09  4.71238898038468967E+00
      13  2.84444444444444500E-01  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00  0.00000000000000000E+00
      14  1.18440491736326758E-01 -0.00000000000000000E+00  6.80092790646328105E-01  2.45992033214419746E+09  1.57079632679489656E+00
      15  6.00395270811769979E-03 -0.00000000000000000E+00  1.43328945562597521E+00  1.09257815164255180E+10  1.57079632679489656E+00
      16  2.49999999999999962E-03  8.28522631476686477E+00 -1.43328945562597587E+00  3.76010329150605530E+11  6.11188727746798754E+00
      17  4.93177151346429546E-02  8.28522631476686477E+00 -6.80092790646328549E-01  3.67544467966324097E+11  6.20128392825021457E+00
      18  1.18440491736326758E-01  8.28522631476686477E+00 -5.03905473491965633E-16  3.65084547634179932E+11  0.00000000000000000E+00
      19  4.93177151346429546E-02  8.28522631476686477E+00  6.80092790646327661E-01  3.67544467966324097E+11  8.19013789293716599E-02
      20  2.49999999999999962E-03  8.28522631476686477E+00  1.43328945562597454E+00  3.76010329150605530E+11  1.71298029711598687E-01
      21  1.26729309801494014E-04  1.74610401371034136E+01 -1.43328945562597609E+00  1.63245553203367676E+12  6.20128392825021457E+00
      22  2.49999999999999962E-03  1.74610401371034136E+01 -6.80092790646329215E-01  1.62398967084939575E+12  6.24425582821370195E+00
      23  6.00395270811769979E-03  1.74610401371034136E+01 -1.06197626518267241E-15  1.62152975051725146E+12  0.00000000000000000E+00
      24  2.49999999999999962E-03  1.74610401371034136E+01  6.80092790646326995E-01  1.62398967084939575E+12  3.89294789658842788E-02
      25  1.26729309801494014E-04  1.74610401371034136E+01  1.43328945562597432E+00  1.63245553203367676E+12  8.19013789293716599E-02
